t0,5/2/2017  11:03:14.356096
delta t,0.001000

time,Y
5/2/2017  11:03:18.495096,10.417284
5/2/2017  11:03:18.496096,10.416966
5/2/2017  11:03:18.497096,10.416966
5/2/2017  11:03:18.498096,10.416966
5/2/2017  11:03:18.499096,10.416966
5/2/2017  11:03:18.500096,10.416966
5/2/2017  11:03:18.501096,10.416966
5/2/2017  11:03:18.502096,10.416966
5/2/2017  11:03:18.503096,10.416966
5/2/2017  11:03:18.504096,10.416966
5/2/2017  11:03:18.505096,10.416966
5/2/2017  11:03:18.506096,10.416966
5/2/2017  11:03:18.507096,10.417284
5/2/2017  11:03:18.508096,10.417284
5/2/2017  11:03:18.509096,10.416966
5/2/2017  11:03:18.510096,10.417284
5/2/2017  11:03:18.511096,10.417284
5/2/2017  11:03:18.512096,10.417284
5/2/2017  11:03:18.513096,10.417284
5/2/2017  11:03:18.514096,2.970973
5/2/2017  11:03:18.515096,2.668353
5/2/2017  11:03:18.516096,2.589519
5/2/2017  11:03:18.517096,2.635293
5/2/2017  11:03:18.518096,2.612406
5/2/2017  11:03:18.519096,2.564088
5/2/2017  11:03:18.520096,2.692511
5/2/2017  11:03:18.521096,2.616221
5/2/2017  11:03:18.522096,2.626393
5/2/2017  11:03:18.523096,2.745915
5/2/2017  11:03:18.524096,2.691240
5/2/2017  11:03:18.525096,2.756087
5/2/2017  11:03:18.526096,2.651823
5/2/2017  11:03:18.527096,2.677253
5/2/2017  11:03:18.528096,2.758630
5/2/2017  11:03:18.529096,2.753544
5/2/2017  11:03:18.530096,2.668353
5/2/2017  11:03:18.531096,2.576804
5/2/2017  11:03:18.532096,2.570446
5/2/2017  11:03:18.533096,2.602234
5/2/2017  11:03:18.534096,2.497970
5/2/2017  11:03:18.535096,2.595876
5/2/2017  11:03:18.536096,2.706498
5/2/2017  11:03:18.537096,2.614949
5/2/2017  11:03:18.538096,2.650551
5/2/2017  11:03:18.539096,2.679796
5/2/2017  11:03:18.540096,2.592062
5/2/2017  11:03:18.541096,2.675982
5/2/2017  11:03:18.542096,2.637836
5/2/2017  11:03:18.543096,2.678525
5/2/2017  11:03:18.544096,2.701412
5/2/2017  11:03:18.545096,2.728114
5/2/2017  11:03:18.546096,2.650551
5/2/2017  11:03:18.547096,2.730657
5/2/2017  11:03:18.548096,2.714127
5/2/2017  11:03:18.549096,2.658181
5/2/2017  11:03:18.550096,2.803133
5/2/2017  11:03:18.551096,2.575532
5/2/2017  11:03:18.552096,2.646737
5/2/2017  11:03:18.553096,2.641651
